,Rating ?/5,Number of Ratings,Processor,Price in INR,Date of Scraping,Company Name,Ram_size,Storage_size,Battery_size
0,4.2,33561,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",5649,2023-06-17,POCO,2.0,32,5000
1,4.2,77128,Mediatek Dimensity 700 Processor,11999,2023-06-17,POCO,4.0,64,5000
2,4.3,15175,Helio G36 Processor,6999,2023-06-17,POCO,4.0,64,5000
3,4.2,22621,Mediatek Helio G85 Processor,7749,2023-06-17,POCO,4.0,64,5000
4,4.3,15175,Helio G36 Processor,6999,2023-06-17,POCO,4.0,64,5000
5,4.2,77128,Mediatek Dimensity 700 Processor,11999,2023-06-17,POCO,4.0,64,5000
6,4.2,22621,Mediatek Helio G85 Processor,7749,2023-06-17,POCO,4.0,64,5000
7,4.2,22621,Mediatek Helio G85 Processor,7749,2023-06-17,POCO,4.0,64,5000
8,4.1,13647,Mediatek Helio G85 Processor,9249,2023-06-17,POCO,6.0,128,5000
9,4.2,40525,Mediatek Dimensity 700 Processor,13999,2023-06-17,POCO,6.0,128,5000
10,4.2,33561,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",5649,2023-06-17,POCO,2.0,32,5000
11,4.1,13647,Mediatek Helio G85 Processor,9249,2023-06-17,POCO,6.0,128,5000
12,4.2,7572,Mediatek Helio G99 Processor,8999,2023-06-17,POCO,4.0,64,5000
13,4.2,7572,Mediatek Helio G99 Processor,8999,2023-06-17,POCO,4.0,64,5000
14,4.2,77128,Mediatek Dimensity 700 Processor,11999,2023-06-17,POCO,4.0,64,5000
15,4.1,13647,Mediatek Helio G85 Processor,9249,2023-06-17,POCO,6.0,128,5000
16,4.2,40525,Mediatek Dimensity 700 Processor,13999,2023-06-17,POCO,6.0,128,5000
17,4.1,11675,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",6499,2023-06-17,POCO,3.0,32,5000
18,4.2,7572,Mediatek Helio G99 Processor,8999,2023-06-17,POCO,4.0,64,5000
19,4.2,21133,Mediatek Helio G96 Processor,13999,2023-06-17,POCO,8.0,128,5000
20,4.1,11675,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",6499,2023-06-17,POCO,3.0,32,5000
21,4.1,7285,Qualcomm Snapdragon 695 Processor,15999,2023-06-17,POCO,6.0,128,5000
22,4.1,7285,Qualcomm Snapdragon 695 Processor,15999,2023-06-17,POCO,6.0,128,5000
23,4.2,21688,Mediatek Dimensity 810 Processor,15999,2023-06-17,POCO,8.0,128,5000
24,4.2,3525,Mediatek Helio G99 Processor,10999,2023-06-17,POCO,6.0,128,5000
25,4.2,3525,Mediatek Helio G99 Processor,10999,2023-06-17,POCO,6.0,128,5000
26,4.1,7285,Qualcomm Snapdragon 695 Processor,15999,2023-06-17,POCO,6.0,128,5000
27,4.2,3525,Mediatek Helio G99 Processor,10999,2023-06-17,POCO,6.0,128,5000
28,4.2,21133,Mediatek Helio G96 Processor,13999,2023-06-17,POCO,8.0,128,5000
29,4.3,7460,Qualcomm Snapdragon 778G Processor,23999,2023-06-17,POCO,8.0,256,5000
30,4.1,2646,Qualcomm Snapdragon 695 Processor,17999,2023-06-17,POCO,8.0,256,5000
31,4.3,7460,Qualcomm Snapdragon 778G Processor,23999,2023-06-17,POCO,8.0,256,5000
32,4.1,2646,Qualcomm Snapdragon 695 Processor,17999,2023-06-17,POCO,8.0,256,5000
33,4.2,54521,MediaTek Dimensity 700 Processor,14499,2023-06-17,POCO,6.0,128,5000
34,4.2,40239,Mediatek Dimensity 700 Processor,13999,2023-06-17,POCO,6.0,128,5000
35,4.2,85420,Qualcomm Snapdragon 695 5G Processor,17499,2023-06-17,POCO,6.0,128,5000
36,4.3,7460,Qualcomm Snapdragon 778G Processor,23999,2023-06-17,POCO,8.0,256,5000
37,4.3,7885,Qualcomm Snapdragon 778G Processor,21999,2023-06-17,POCO,6.0,128,5000
38,4.3,7885,Qualcomm Snapdragon 778G Processor,21999,2023-06-17,POCO,6.0,128,5000
