,Rating ?/5,Number of Ratings,Price in INR,Ram_size,Storage_size,Battery_size,Company_name,Company_name
0,4.2,33561,5649,2.0,32.0,5000.0,12,12
1,4.2,77128,11999,4.0,64.0,5000.0,12,12
2,4.3,15175,6999,4.0,64.0,5000.0,12,12
3,4.2,22621,7749,4.0,64.0,5000.0,12,12
4,4.3,15175,6999,4.0,64.0,5000.0,12,12
5,4.2,77128,11999,4.0,64.0,5000.0,12,12
6,4.2,22621,7749,4.0,64.0,5000.0,12,12
7,4.2,22621,7749,4.0,64.0,5000.0,12,12
8,4.1,13647,9249,6.0,128.0,5000.0,12,12
9,4.2,40525,13999,6.0,128.0,5000.0,12,12
10,4.2,33561,5649,2.0,32.0,5000.0,12,12
11,4.1,13647,9249,6.0,128.0,5000.0,12,12
12,4.2,7572,8999,4.0,64.0,5000.0,12,12
13,4.2,7572,8999,4.0,64.0,5000.0,12,12
14,4.2,77128,11999,4.0,64.0,5000.0,12,12
15,4.1,13647,9249,6.0,128.0,5000.0,12,12
16,4.2,40525,13999,6.0,128.0,5000.0,12,12
17,4.1,11675,6499,3.0,32.0,5000.0,12,12
18,4.2,7572,8999,4.0,64.0,5000.0,12,12
19,4.2,21133,13999,8.0,128.0,5000.0,12,12
20,4.1,11675,6499,3.0,32.0,5000.0,12,12
21,4.1,7285,15999,6.0,128.0,5000.0,12,12
22,4.1,7285,15999,6.0,128.0,5000.0,12,12
23,4.2,21688,15999,8.0,128.0,5000.0,12,12
24,4.2,3525,10999,6.0,128.0,5000.0,12,12
25,4.2,3525,10999,6.0,128.0,5000.0,12,12
26,4.1,7285,15999,6.0,128.0,5000.0,12,12
27,4.2,3525,10999,6.0,128.0,5000.0,12,12
28,4.2,21133,13999,8.0,128.0,5000.0,12,12
29,4.2,54521,14499,6.0,128.0,5000.0,12,12
30,4.2,40239,13999,6.0,128.0,5000.0,12,12
31,4.2,85420,17499,6.0,128.0,5000.0,12,12
32,4.3,7885,21999,6.0,128.0,5000.0,12,12
33,4.3,7885,21999,6.0,128.0,5000.0,12,12
34,4.3,7885,21999,6.0,128.0,5000.0,12,12
35,4.2,85420,16499,6.0,64.0,5000.0,12,12
36,4.2,21576,19499,8.0,128.0,5000.0,12,12
37,4.3,48896,14999,4.0,64.0,5000.0,12,12
38,4.2,56081,16999,6.0,128.0,5000.0,12,12
39,4.2,21576,19499,8.0,128.0,5000.0,12,12
40,4.3,5304,27999,8.0,128.0,4500.0,12,12
41,4.2,85420,16499,6.0,64.0,5000.0,12,12
42,4.3,67498,11990,4.0,64.0,5000.0,12,12
43,4.2,85420,17499,6.0,128.0,5000.0,12,12
44,4.3,12889,27999,6.0,128.0,4500.0,12,12
45,4.2,85420,17499,6.0,128.0,5000.0,12,12
46,4.3,12889,27999,6.0,128.0,4500.0,12,12
47,4.3,64087,15999,4.0,64.0,5000.0,12,12
48,4.3,4739,32999,6.0,128.0,5065.0,12,12
49,4.3,67498,11999,4.0,64.0,5000.0,12,12
50,4.2,85420,16499,6.0,64.0,5000.0,12,12
51,4.3,4739,32999,6.0,128.0,5065.0,12,12
52,4.3,56643,25999,8.0,128.0,5160.0,12,12
53,4.3,5304,27999,8.0,128.0,4500.0,12,12
54,4.2,54521,17999,6.0,128.0,5000.0,12,12
55,4.4,12742,13999,8.0,128.0,5000.0,15,15
56,4.3,9101,11999,6.0,64.0,5000.0,15,15
57,4.4,12742,13999,8.0,128.0,5000.0,15,15
58,4.4,12742,13999,8.0,128.0,5000.0,15,15
59,4.3,9101,11999,6.0,64.0,5000.0,15,15
60,4.4,39053,10999,4.0,64.0,5000.0,15,15
61,4.4,39053,10999,4.0,64.0,5000.0,15,15
62,4.4,39053,10999,4.0,64.0,5000.0,15,15
